timestamp,from_controller,to_controller,reason,predicted_improvement,current_variance,predicted_variance
2026-03-09T14:00:53.190970,1,2,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:00:53.371694,1,3,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:00:57.405023,1,2,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:01:23.479489,1,3,predicted_variance=1058.0 > threshold=30.0,48.30,1058.00,1058.00
2026-03-09T14:01:23.751136,1,2,predicted_variance=1076.5 > threshold=30.0,48.72,1076.48,1076.48
2026-03-09T14:01:27.488846,1,2,predicted_variance=1076.5 > threshold=30.0,48.72,1076.48,1076.48
2026-03-09T14:02:15.699483,1,2,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:02:15.720219,1,2,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:02:15.990078,1,3,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:02:45.849540,1,2,predicted_variance=1039.7 > threshold=30.0,47.88,1039.68,1039.68
2026-03-09T14:02:46.090244,1,3,predicted_variance=1039.7 > threshold=30.0,47.88,1039.68,1039.68
2026-03-09T14:02:46.258628,1,2,predicted_variance=1058.0 > threshold=30.0,48.30,1058.00,1058.00
2026-03-09T14:03:39.111167,1,2,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:03:43.450968,1,2,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:03:43.745035,1,3,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:04:09.552653,1,2,predicted_variance=1076.5 > threshold=30.0,48.72,1076.48,1076.48
2026-03-09T14:04:13.537050,1,2,predicted_variance=1076.5 > threshold=30.0,48.72,1076.48,1076.48
2026-03-09T14:04:13.853271,1,3,predicted_variance=1076.5 > threshold=30.0,48.72,1076.48,1076.48
2026-03-09T14:05:01.617464,1,2,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:05:02.075142,1,2,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:05:06.502121,1,3,predicted_variance=174.2 > threshold=30.0,19.60,174.22,174.22
2026-03-09T14:05:32.153613,1,2,predicted_variance=1076.5 > threshold=30.0,48.72,1076.48,1076.48
2026-03-09T14:05:32.174538,1,2,predicted_variance=1076.5 > threshold=30.0,48.72,1076.48,1076.48
